#NSGA2
popsize 100
maxGen 200
numVar 22
numObj 3
numCons 4
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	100
totalTime	20.4785
firstFrontCount	5
frontCount	69
avgEvalTime	0.203051
#end
NumDecks	SLayout	Length	Width	Height	Wheelbase	Structure	NumChargers	Gangway	Pitch	SWidth	MType	DWidth	Topology	UPower	Capacity	ChaPow	PSpace	FA1	FA2	RA1	RA2	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	
1	2	16.8801	2.30577	2.35327	6.50551	1	144	0.483368	0.720888	0.420491	3	1.48063	3	99	500	182	0.181899	33.7353	16.6978	18.7473	18.3491	0.734901	-30.3409	0.350751	0	0	0	0	
1	2	13.2627	2.58833	2.84076	5.44739	2	119	0.455148	0.727265	0.427836	3	0.965041	4	109	76	167	0.184305	29.4949	2.79532	31.5139	19.9976	122297	-30.8088	900	0	0	0	0	
1	2	11.7689	2.23777	3.38712	4.65234	3	179	0.525164	0.706765	0.431852	4	0.97192	2	163	163	249	0.215574	19.5715	10.159	31.1562	20.6127	0.991085	-11.6798	0.368158	0	0	0	0	
1	4	17.793	2.55733	3.83413	6.41186	2	152	0.545488	0.691543	0.439287	3	0.77088	4	118	395	107	0.207035	22.3272	12.3909	29.3243	15.8672	88073.8	-24.0245	900	0	0	0	0	
1	3	13.2627	2.58833	2.84076	5.44739	2	119	0.455148	0.727265	0.427836	3	0.965041	4	54	76	167	0.184305	29.4949	2.79532	23.8902	19.9976	90662.9	-30.7984	900	0	0	0	0	
1	2	15.2896	2.64828	2.47278	6.79771	3	96	0.479538	0.735229	0.433176	4	0.65	3	142	302	374	0.25	32.8428	3.41257	15.8767	1.24832	129663	-33.9154	900	0	0	0	0	
1	3	17.3988	2.3595	3.75122	6.67837	3	52	0.483738	0.804695	0.406204	1	1.42363	3	162	278	101	0.214566	16.8156	3.19308	24.7267	15.4267	86481.5	-22.1726	900	0	0	0	0	
1	2	13.6018	2.6416	2.80712	6.25859	1	89	0.535255	0.65	0.409759	4	0.864962	4	163	350	192	0.226875	34.0629	7.15071	25.2965	4.55413	125477	-33.1436	900	0	0	0	0	
1	4	17.793	2.55733	3.83413	6.41186	2	152	0.545488	0.691543	0.439287	1	0.77088	4	91	395	107	0.207035	22.3272	11.0374	29.3243	15.8672	88073.8	-24.0239	900	0	0	0	0	
1	4	12.8518	2.45621	3.27817	5.44153	2	52	0.478083	0.656839	0.428844	3	0.91198	5	63	328	321	0.221831	27.2776	18.5866	19.522	4.47508	129663	-30.4128	900	0	0	0	0	
